id,year,month,authors,title,title_ja,note,venue,links,award,hidden,rm_id,rm_target,rm_type,rm_skip,journal,volume,number,pages,doi,referee,lang
p0151,2025,,"津田太郎, 山下紗苗, 井上昂治, 河原達也, 東中竜一郎",Multi-Relational Multi-Party Chat Corpus: 話者間の関係性に着目したマルチパーティ雑談対話コーパス,,,"言語処理学会第31回年次大会, D10-6",Link | https://www.anlp.jp/proceedings/annual_meeting/2025/pdf_dir/D10-6.pdf,,,,,,,,,,,,,
p0152,2025,,"井上昂治, Mikey Elmers, Divesh Lala, 河原達也",人はなぜ笑うのか？対話における笑いの根拠ラベルの半自動構築,,,"言語処理学会第31回年次大会, D9-6",Link | https://www.anlp.jp/proceedings/annual_meeting/2025/pdf_dir/D9-6.pdf,,,,,,,,,,,,,
p0153,2025,,"西田典起, 井上昂治,中山英樹, 坊農真弓, 高梨克也",マルチモーダル大規模言語モデルはジェスチャーをどこまで理解しているのか：指標性・図像性・象徴性を問う,,,"言語処理学会第31回年次大会, C3-5",Link | https://www.anlp.jp/proceedings/annual_meeting/2025/pdf_dir/C3-5.pdf,,,,,,,,,,,,,
p0154,2024,,"井上昂治, Lala Divesh, Skantze Gabriel, 河原 達也",Voice Activity Projectionモデルを用いたリアルタイム相槌予測,,,"人工知能学会研究会資料, SLUD-102-229",Link | https://www.jstage.jst.go.jp/article/jsaislud/102/0/102_229/_article/-char/ja,,,,,,,,,,,,,
p0155,2024,,"住田 龍宇一, 井上昂治, 河原達也",RAGチャットボットは重要でない会話を忘れるべきか？ 心理学における発見を用いた重要度と忘却の探究,,,"人工知能学会研究会資料, SLUD-102-28",Link | https://www.jstage.jst.go.jp/article/jsaislud/102/0/102_28/_article/-char/ja,第15回対話システムシンポジウム若手優秀賞,,,,,,,,,,,,
p0156,2024,,"彭 子豪, 傅 雅慧, ラーラー ディベッシュ, エルマーズ マイキー, 井上 昂治, 河原 達也",アンドロイドERICAによる国際会議におけるインタビュー対話システム,,,"人工知能学会研究会資料, SLUD-102-01",Link | https://www.jstage.jst.go.jp/article/jsaislud/102/0/102_01/_article/-char/ja,,,,,,,,,,,,,
p0157,2023,,"彭子豪, 傅雅慧, Divesh Lala, 越智景子, 井上昂治, 河原達也",感情語りコーパスを用いたバリデーション応答の生成,,,"人工知能学会研究会資料, SLUD-099-23",Link | https://www.jstage.jst.go.jp/article/jsaislud/99/0/99_119/_article/-char/ja/,,,,,,,,,,,,,
p0158,2023,,"越智景子, 井上昂治, Divesh Lala, 河原達也, 熊崎博一",精神科デイケアのための傾聴対話システム：きくロボ,,,"人工知能学会研究会資料, SLUD-099-16",Link | https://www.jstage.jst.go.jp/article/jsaislud/99/0/99_78/_article/-char/ja/,,,,,,,,,,,,,
p0159,2023,,"川井悠生, 山本賢太, 越智景子, Lala Divesh, 井上昂治, 河原達也",半自律対話による同時並列傾聴システム,,,"人工知能学会研究会資料, SLUD-099-14",Link | https://www.jstage.jst.go.jp/article/jsaislud/99/0/99_66/_article/-char/ja/,第14回対話システムシンポジウム若手優秀賞,,,,,,,,,,,,
p0160,2023,,"井上昂治, Divesh Lala, 越智景子, 河原達也, Gabriel Skantze",音声対話システムの客観評価のためのユーザのマルチモーダルなふるまいの分析,,,"人工知能学会研究会資料, SLUD-099-01",Link | https://www.jstage.jst.go.jp/article/jsaislud/99/0/99_01/_article/-char/ja/,,,,,,,,,,,,,
p0161,2023,,Prediction of Validating Response from Emotional Storytelling Corpus,"Zi Haur Pang, Yahui Fu, Divesh Lala, Keiko Ochi, Koji Inoue, Tatsuya Kawahara",,,第37回 人工知能学会全国大会,PDF | https://www.jstage.jst.go.jp/article/pjsai/JSAI2023/0/JSAI2023_2O5OS2a03/_pdf,,,,,,,,,,,,,
p0162,2023,,"越智景子, 井上昂治, 河原達也, 大西祐美, 熊﨑博一",傾聴ロボットを用いた精神科デイケアでの会話の基礎検討,,,第41回 日本社会精神医学会,,,,,,,,,,,,,,
p0163,2023,,"三村正人, 井上昂治, 河原達也, 中村友彦, 猿渡洋",実環境下日本語話し言葉音声コーパスの構築と音声認識ベンチマーク,,,"情報処理学会研究報告, SLP-146-12",Link | https://ipsj.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=224409&item_no=1&page_id=13&block_id=8,,,,,,,,,,,,,
p0164,2022,,"山本賢太, 井上昂治, 河原達也",音声対話システムによる雑談対話におけるキャラクタ表現に基づくユーザ適応の検討,,,"人工知能学会研究会資料, SLUD-096-29",Link | https://www.jstage.jst.go.jp/article/jsaislud/96/0/96_29/_article/-char/ja/,,,,,,,,,,,,,
p0165,2022,,"越智景子, 井上昂治, Lala Divesh, 河原達也",傾聴対話におけるユーザ発話に同調する相槌の韻律制御,,,"日本音響学会2022秋季研究発表会, 3-8-9",,,,,,,,,,,,,,
p0166,2022,,"有岡無敵, 山本賢太, 井上昂治, 河原達也, 中村哲, 吉野幸一郎",遠隔操作アンドロイドを用いたマルチモーダル説得対話コーパスの収集と分析,,,"言語処理学会第28回年次大会, B2-2",,,,,,,,,,,,,,
p0167,2022,,"川井悠生, 山本賢太, Lala Divesh, 井上昂治, 河原達也",回答評価とキーワード抽出を用いた同時並列就職面接対話システム,,,"情報処理学会 第84回全国大会, 2R-05",,学生奨励賞,,,,,,,,,,,,
p0168,2022,,"長連成, 井上昂治, 越智景子, 河原達也",大規模テキストデータを用いた事前学習による音声対話の相槌予測,,,"情報処理学会 第84回全国大会, 2R-04",,,,,,,,,,,,,,
p0169,2022,,"村木優介, 山本賢太, Lala Divesh, 井上昂治, 河原達也",半自律並列プレゼン対話システムのための質問分類による介入タイミング制御,,,"情報処理学会 第84回全国大会, 2R-03",,,,,,,,,,,,,,
p0170,2021,,"井上昂治, Lala Divesh, 河原達也",共感を表出する音声対話システムのための共有笑い生成,,,"人工知能学会研究会資料, SLUD-093-27",Link | https://www.jstage.jst.go.jp/article/jsaislud/93/0/93_155/_article/-char/ja/,,,,,,,,,,,,,
p0171,2021,,"山本賢太, 井上昂治, 河原達也",音声対話システムのユーザ適応に向けたパーソナリティの関係性の分析,,,"人工知能学会研究会資料, SLUD-093-02",Link | https://www.jstage.jst.go.jp/article/jsaislud/93/0/93_09/_article/-char/ja/,,,,,,,,,,,,,
p0172,2021,,"酒井和紀, 吉川雄一郎, 井上昂治, 河原達也, 石黒浩",複数ロボットによる対話継続効果検証のための商業施設でのフィールド実験,,,"第39回日本ロボット学会学術講演会, 2B4-02",,,,,,,,,,,,,,
p0173,2021,,井上昂治,アンドロイドERICAの音声対話システム～マルチモーダルチューリングテストへの挑戦～,,,"電子情報通信学会技術研究報告, SP2021-7",,,,,,,,,,,,,,
p0174,2021,,"坂本寛弥, 山本賢太, Lala Divesh, 井上昂治, 河原達也",話し手以外のユーザへの参与促進発話を生成する多人数傾聴対話システム,,,"情報処理学会全国大会講演論文集, 6N-06",,,,,,,,,,,,,,
p0175,2021,,"井上昂治, Lala Divesh, 河原達也",ヒューマンロボットインタラクションのための相槌・笑いのリアルタイム検出,,,"日本音響学会2021春季研究発表会, 1-2-9",,,,,,,,,,,,,,
p0176,2021,,"井上昂治, Lala Divesh, 河原達也",ヒューマンロボットインタラクションにおける音響特徴に基づく共有笑いの予測,,,"日本音響学会2021春季研究発表会, 1-2-8",,,,,,,,,,,,,,
p0177,2020,,"山本賢太, 井上昂治, 河原達也",VAEを用いた半教師あり学習による音声対話システムのためのキャラクタ表現,,,"人工知能学会研究会資料, SLUD-C002-31",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=repository_uri&item_id=10940,第11回対話システムシンポジウム若手優秀賞,,,,,,,,,,,,
p0178,2020,,"田中滉己, 井上昂治, 中村静, 高梨克也, 河原達也",多様なふるまいからの好感判定に基づき発話構成要素を選択するお見合い対話システム,,,"人工知能学会研究会資料, SLUD-C002-28",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=repository_uri&item_id=10937,,,,,,,,,,,,,
p0179,2020,,"井上昂治, Lala Divesh, 山本賢太, 中村静, 高梨克也, 河原達也",アンドロイドERICAの傾聴対話システムにおけるWOZとの比較評価,,,"人工知能学会研究会資料, SLUD-C002-21",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=repository_uri&item_id=10929,,,,,,,,,,,,,
p0180,2020,,"井上昂治, Lala Divesh, 山本賢太, 中村静, 高梨克也, 河原達也",WOZとの比較による自律型アンドロイドERICAの傾聴対話システムの評価,,,"日本音響学会2020秋季研究発表会, 3-2-7",,,,,,,,,,,,,,
p0181,2020,,"井上昂治, 原康平, Lala Divesh, 山本賢太, 中村静, 高梨克也, 河原達也",自律型アンドロイドERICAによる就職面接対話,,,"日本音響学会2020春季研究発表会, 3-4-3",,,,,,,,,,,,,,
p0182,2019,,"磯西爽太, 井上昂治, 高梨克也, 河原達也",質問タイプの分類に基づく登録外質問に対する応答生成,,,"人工知能学会研究会資料, SLUD-B902-06",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=repository_uri&item_id=10546,,,,,,,,,,,,,
