id,year,month,authors,title,title_ja,note,venue,links,award,hidden,rm_id,rm_target,rm_type,rm_skip,journal,volume,number,pages,doi,referee,lang
p0038,2026,,"Takao Obi, Yusong Wang, Koji Inoue, Kotaro Funakoshi",Toward Signing Activity Projection in Sign Language Interaction,,,International Conference on Robot and Human Interactive Communication (RO-MAN),Preprint PDF | https://arxiv.org/abs/2606.09424,,,,,,,,,,,,,
p0039,2026,,"Taiga Mori, Koji Inoue, Divesh Lala, Tatsuya Kawahara",On the Structure of Address in Multi-Party Dialogue: From Discrete Labels to Continuous Levels,,,SIGdial Meeting on Discourse and Dialogue (SIGDIAL),"Link | https://aclanthology.org/2026.sigdial-1.47/
Preprint PDF | https://arxiv.org/abs/2607.15648",,,,,,,,,,,,,
p0040,2026,,"Zi Haur Pang, Yahui Fu, Koji Inoue, Tatsuya Kawahara",I Understand How You Feel: Enhancing Deeper Emotional Support Through Multilingual Emotional Validation in Dialogue System,,,SIGdial Meeting on Discourse and Dialogue (SIGDIAL),"Link | https://aclanthology.org/2026.sigdial-1.16/
Preprint PDF | https://arxiv.org/abs/2606.11875",,,,,,,,,,,,,
p0041,2026,,"Weihua Zheng, Zhengyuan Liu, Tanmoy Chakraborty, Weiwen Xu, Xiaoxue Gao, Bryan Chen Zhengyu Tan, Bowei Zou, Chang Liu, Yujia Hu, Xing Xie, Xiaoyuan Yi, Jing Yao, Chaojun Wang, Long Li, Rui Liu, Huiyao Liu, Koji Inoue, Ryuichi Sumida, Tatsuya Kawahara, Fan Xu, Lingyu Ye, Wei Tian, Dongjun Kim, Jimin Jung, Jaehyung Seo, Nadya Yuki Wangsajaya, Pham Minh Duc, Ojasva Saxena, Palash Nandi, Xiyan Tao, Wiwik Karlina, Tuan Luong, Keertana Arun Vasan, Roy Ka-Wei Lee, Nancy F. Chen","MMAC: A Multilingual, Multimodal Alignment Framework for Cultural Grounding Evaluation",,,"Annual Meeting of the Association for Computational Linguistics (ACL), pp. 21667-21709","Link | https://aclanthology.org/2026.acl-long.989/
Preprint PDF | https://arxiv.org/abs/2510.08608",,,,,,,Annual Meeting of the Association for Computational Linguistics (ACL),,,21667-21709,,,
p0042,2026,,"Yoshiki Tanaka, Ryuichi Uehara, Koji Inoue, Michimasa Inaba",Emotion Transcription in Conversation: A Benchmark for Capturing Subtle and Complex Emotional States through Natural Language,,,"International Conference on Language Resources and Evaluation (LREC), pp. 9296-9709","Link | https://lrec.elra.info/lrec2026-main-761
Preprint PDF | https://arxiv.org/abs/2603.07138",,,,,,,International Conference on Language Resources and Evaluation (LREC),,,9296-9709,,,
p0043,2026,,"Yasuyuki Usuda, Kei Shimonishi, Koji Inoue, Rui Sakaida",Meta-Dialogue as a Cue of Understanding Emotion --Data Collection Method and Preliminary Analysis--,,,International Conference on Applied Informatics and Media Design (AIMD),,,,,,,,,,,,,,
p0044,2026,,"Muyun Wu, Zi Haur Pang, Koji Inoue, Tatsuya Kawahara",Still Thinking or Stopped Talking? Dialogue Silence Intention Classification Using Multimodal Large Language Model,,,"International Conference on Acoustics, Speech, and Signal Processing (ICASSP), pp. 16272-16276",Link | https://ieeexplore.ieee.org/document/11464331,,,,,,,"International Conference on Acoustics, Speech, and Signal Processing (ICASSP)",,,16272-16276,,,
p0045,2026,,"Akane Fukushige, Koji Inoue, Keiko Ochi, Tatsuya Kawahara, Sanae Yamashita, Ryuichiro Higashinaka",Estimating Relationships between Participants in Multi-Party Chat Corpus,,,"International Workshop on Spoken Dialogue Systems Technology (IWSDS), pp. 379-390",Link | https://aclanthology.org/2026.iwsds-1.38/,,,,,,,International Workshop on Spoken Dialogue Systems Technology (IWSDS),,,379-390,,,
p0046,2026,,"Koji Inoue, Mikey Elmers, Yahui Fu, Zi Haur Pang, Taiga Mori, Divesh Lala, Keiko Ochi, Tatsuya Kawahara",Multilingual and Continuous Backchannel Prediction: A Cross-lingual Study,,,"International Workshop on Spoken Dialogue Systems Technology (IWSDS), pp. 222-230",Link | https://aclanthology.org/2026.iwsds-1.23/,,,,,,,International Workshop on Spoken Dialogue Systems Technology (IWSDS),,,222-230,,,
p0047,2026,,"Taiga Mori, Koji Inoue, Divesh Lala, Keiko Ochi, Tatsuya Kawahara",Analysing Next Speaker Prediction in Multi-Party Conversation Using Multimodal Large Language Models,,,"International Workshop on Spoken Dialogue Systems Technology (IWSDS), pp. 83-94",Link | https://aclanthology.org/2026.iwsds-1.8/,,,,,,,International Workshop on Spoken Dialogue Systems Technology (IWSDS),,,83-94,,,
p0048,2025,,"Motoori Takeuchi, Koji Inoue, Keiko Ochi, Tatsuya Kawahara",Can LLMs be Surprised? Evaluation and Analysis of Surprise Expression of LLMs,,,"International Conference on Human-Agent Interaction (HAI), pp. 560-562",Link | https://dl.acm.org/doi/10.1145/3765766.3765873,,,,,,,International Conference on Human-Agent Interaction (HAI),,,560-562,,,
p0049,2025,,"Koji Inoue, Shogo Okada, Divesh Lala, Sahba Zojaji, Nancy F. Chen, Tatsuya Kawahara",CCMI 2025: Cross-Cultural Multimodal Interaction,,,"International Conference on Multimodal Interaction (ICMI), pp. 808-810",Link | https://dl.acm.org/doi/10.1145/3716553.3759264,,,,,,,International Conference on Multimodal Interaction (ICMI),,,808-810,,,
p0050,2025,,"Kazushi Kato, Koji Inoue, Divesh Lala, Keiko Ochi, Tatsuya Kawahara",Real-time Generation of Various Types of Nodding for Avatar Attentive Listening System,,,"International Conference on Multimodal Interaction (ICMI), pp. 209–217","Link | https://dl.acm.org/doi/10.1145/3716553.3750764
Preprint PDF | https://arxiv.org/abs/2507.23298",,,,,,,International Conference on Multimodal Interaction (ICMI),,,209–217,,,
